ontology.id	ontology.label	variable.name	function.name
NCIT:C48740	pM0 Stage Finding	PM0_STAGE_FINDING	pM0StageFinding
NCIT:C48741	pM1 Stage Finding	PM1_STAGE_FINDING	pM1StageFinding
NCIT:C48742	pM1a Stage Finding	PM1A_STAGE_FINDING	pM1aStageFinding
NCIT:C48743	pM1b Stage Finding	PM1B_STAGE_FINDING	pM1bStageFinding
NCIT:C48744	pM1c Stage Finding	PM1C_STAGE_FINDING	pM1cStageFinding
NCIT:C48745	pN0 Stage Finding	PN0_STAGE_FINDING	pN0StageFinding
NCIT:C48746	pN1 Stage Finding	PN1_STAGE_FINDING	pN1StageFinding
NCIT:C48747	pN1a Stage Finding	PN1A_STAGE_FINDING	pN1aStageFinding
NCIT:C48748	pN1b Stage Finding	PN1B_STAGE_FINDING	pN1bStageFinding
NCIT:C48749	pN1c Stage Finding	PN1C_STAGE_FINDING	pN1cStageFinding
NCIT:C48750	pN2 Stage Finding	PN2_STAGE_FINDING	pN2StageFinding
NCIT:C48751	pN2a Stage Finding	PN2A_STAGE_FINDING	pN2aStageFinding
NCIT:C48752	pN2b Stage Finding	PN2B_STAGE_FINDING	pN2bStageFinding
NCIT:C48753	pN2c Stage Finding	PN2C_STAGE_FINDING	pN2cStageFinding
NCIT:C48754	pN3 Stage Finding	PN3_STAGE_FINDING	pN3StageFinding
NCIT:C48755	pN3a Stage Finding	PN3A_STAGE_FINDING	pN3aStageFinding
NCIT:C48756	pN3b Stage Finding	PN3B_STAGE_FINDING	pN3bStageFinding
NCIT:C48757	pN3c Stage Finding	PN3C_STAGE_FINDING	pN3cStageFinding
NCIT:C48758	pT0 Stage Finding	PT0_STAGE_FINDING	pT0StageFinding
NCIT:C48759	pT1 Stage Finding	PT1_STAGE_FINDING	pT1StageFinding
NCIT:C48760	pT1a Stage Finding	PT1A_STAGE_FINDING	pT1aStageFinding
NCIT:C48761	pT1b Stage Finding	PT1B_STAGE_FINDING	pT1bStageFinding
NCIT:C48763	pT1c Stage Finding	PT1C_STAGE_FINDING	pT1cStageFinding
NCIT:C48764	pT2 Stage Finding	PT2_STAGE_FINDING	pT2StageFinding
NCIT:C48765	pT2a Stage Finding	PT2A_STAGE_FINDING	pT2aStageFinding
NCIT:C48766	pT2b Stage Finding	PT2B_STAGE_FINDING	pT2bStageFinding
NCIT:C48767	pT2c Stage Finding	PT2C_STAGE_FINDING	pT2cStageFinding
NCIT:C48768	pT3 Stage Finding	PT3_STAGE_FINDING	pT3StageFinding
NCIT:C48769	pT3a Stage Finding	PT3A_STAGE_FINDING	pT3aStageFinding
NCIT:C48770	pT3b Stage Finding	PT3B_STAGE_FINDING	pT3bStageFinding
NCIT:C48771	pT3c Stage Finding	PT3C_STAGE_FINDING	pT3cStageFinding
NCIT:C48772	pT4 Stage Finding	PT4_STAGE_FINDING	pT4StageFinding
NCIT:C48773	pT4a Stage Finding	PT4A_STAGE_FINDING	pT4aStageFinding
NCIT:C48774	pT4b Stage Finding	PT4B_STAGE_FINDING	pT4bStageFinding
NCIT:C48775	pT4c Stage Finding	PT4C_STAGE_FINDING	pT4cStageFinding
NCIT:C48776	pT4d Stage Finding	PT4D_STAGE_FINDING	pT4dStageFinding
